,fluxes,reduced_costs
MLTP3,0.0,71.57947781345695
EX_lcts_e,0.0,1687.991524806669
EX_ocdca_e,0.0,0.0
EX_cbl1_e,0.0,0.0
SPODM_num1,0.0,-80.88177316221206
AHCYSNS,0.000155838772074235,-39492.29283419656
ACNML,0.0,-508.5979069821696
TMK,0.0,-306.97363572848553
NTPP4_num1,0.0,798.6736355343705
GMPS,0.08460793047783938,-423.89683107520096
CAT_num1,0.0,-49.3554442815975
FTHFLi,0.038721760607622155,-2.0000000000063665
EX_nac_e,0.0,16490.160976080486
UDPGD,0.0,7927.178025319403
SERASr,0.0,400.7513014114389
GLCRD_num1,0.0,1584.5742107144831
PPPNDO,0.0,-547.6139394397496
26DAHtex_num1,0.0,-2.0
HCINNMtex_num1,0.0,-2.0
HPPPNtex_num1,0.0,2.0
ACtex_num1,0.0,2.0
ACALDtex_num1,0.0,-2.0
CHRPL_num1,7.757153163516609e-05,-1987.6754230255447
TDPAGTA,0.0,-1025.1151757986877
UACMAMO,0.0,-234.56683393150806
FBA3,0.0,-478.08386919375545
PMPK,7.757153163516609e-05,-5573.577089863046
LCADi,0.0,-206.40039630613694
ACMANAtex_num1,0.0,-2.0
ACMUMtex_num1,0.0,-2.0
ACACT7r_num1,0.0,-11754.155175386812
PSP_L,0.5785444842375567,-2.5755124264391114
ADK3,0.0,356.43665200370015
GLUDC_num1,0.0,-439.70448021422567
ACACT2r_num1,0.0,-92.4835365130566
BSORy,0.0,-145.77989703286127
DMSOR2,0.0,4.548573576263152
ADSK,0.08608770310374071,-51.355891686038404
ACACT3r_num1,0.0,-13107.621436742018
